CD_LOC;UF;abstencoes;aptos;comparecimentos;validos
SP00284;SP;1147;4514;3367;2958
SP00285;SP;563;2333;1770;1605
SP00286;SP;1546;6009;4463;3922
SP00287;SP;448;1938;1490;1314
SP00288;SP;605;2503;1898;1633
SP00289;SP;864;3751;2887;2482
SP00290;SP;488;2127;1639;1462
SP00291;SP;12;43;31;28
SP00292;SP;1238;3524;2286;2155
SP00293;SP;889;2607;1718;1581
SP00294;SP;1498;5157;3659;3480
SP00295;SP;1607;4636;3029;2813
SP00296;SP;804;2387;1583;1489
SP00297;SP;365;1311;946;886
SP00298;SP;1357;4475;3118;2935
SP00299;SP;614;2182;1568;1433
SP00300;SP;1324;5119;3795;3534
SP00301;SP;879;3036;2157;2025
SP00302;SP;1325;5488;4163;3975
SP00303;SP;1133;3512;2379;2237
SP00304;SP;957;3481;2524;2382
SP00305;SP;1103;2904;1801;1686
SP00306;SP;1628;5275;3647;3390
SP00307;SP;1173;3529;2356;2144
SP00308;SP;1364;4601;3237;2869
SP00309;SP;1118;3845;2727;2512
SP00310;SP;1668;5928;4260;3880
SP00311;SP;1533;4745;3212;3053
SP00312;SP;954;3428;2474;2317
SP00313;SP;1443;5494;4051;3796
SP00314;SP;838;2699;1861;1714
SP00315;SP;1585;5861;4276;4036
SP00316;SP;2278;8808;6530;6165
SP00317;SP;541;2042;1501;1344
SP00318;SP;730;2552;1822;1681
SP00319;SP;591;2366;1775;1683
SP00320;SP;1369;4504;3135;2925
SP00321;SP;1255;4314;3059;2905
SP00322;SP;2710;8258;5548;5222
SP00323;SP;1337;4008;2671;2514
SP00324;SP;1451;4770;3319;3134
SP00325;SP;1192;4286;3094;2933
SP00326;SP;1184;3933;2749;2597
SP00327;SP;497;1859;1362;1249
SP00328;SP;1044;3718;2674;2416
SP00329;SP;1139;3347;2208;1978
SP00330;SP;1189;4062;2873;2687
SP00331;SP;845;3036;2191;2089
SP00332;SP;770;3054;2284;2189
SP00333;SP;698;2049;1351;1258
SP00334;SP;430;1713;1283;1196
SP00335;SP;1126;4066;2940;2643
SP00336;SP;942;3224;2282;2045
SP00337;SP;377;1495;1118;1019
SP00338;SP;1468;4592;3124;2890
SP00339;SP;1027;3299;2272;2133
SP00340;SP;1072;3747;2675;2535
SP00341;SP;881;3178;2297;2175
SP00342;SP;1461;5123;3662;3456
SP00343;SP;1483;5204;3721;3509
SP00344;SP;1731;5849;4118;3908
SP00345;SP;2470;7886;5416;5134
SP00346;SP;390;1595;1205;1140
SP00347;SP;822;3164;2342;2239
SP00348;SP;1278;4643;3365;3144
SP00349;SP;863;3642;2779;2498
SP00350;SP;317;1278;961;889
SP00351;SP;197;883;686;634
SP00352;SP;560;2374;1814;1735
SP00353;SP;705;2983;2278;2162
SP00354;SP;269;1134;865;774
SP00355;SP;422;1892;1470;1380
SP00356;SP;1681;6871;5190;4952
SP00357;SP;12;35;23;16
SP00358;SP;14;39;25;17
SP00359;SP;10;40;30;26
SP00360;SP;13;119;106;81
SP00361;SP;8;20;12;11
SP00362;SP;547;1767;1220;1161
SP00363;SP;2252;6587;4335;4159
SP00364;SP;646;1999;1353;1290
SP00365;SP;2077;5757;3680;3594
SP00366;SP;1688;5574;3886;3762
SP00367;SP;1138;3181;2043;1955
SP00368;SP;1396;4441;3045;2913
SP00369;SP;1247;4203;2956;2893
SP00370;SP;2002;7693;5691;5525
SP00371;SP;2241;7513;5272;5094
SP00372;SP;1902;5891;3989;3869
SP00373;SP;1632;5182;3550;3450
SP00374;SP;1341;4011;2670;2595
SP00375;SP;1404;4721;3317;3209
SP00376;SP;1451;4805;3354;3222
SP00377;SP;1166;4059;2893;2778
SP00378;SP;1095;3829;2734;2639
SP00379;SP;1364;4356;2992;2840
SP00380;SP;1413;4357;2944;2844
SP00381;SP;1388;4728;3340;3209
SP00382;SP;600;1970;1370;1324
SP00383;SP;1207;3490;2283;2193
SP00384;SP;798;2769;1971;1918
SP00385;SP;1130;3955;2825;2691
SP00386;SP;462;2170;1708;1657
SP00387;SP;733;3215;2482;2390
SP00388;SP;502;1990;1488;1432
SP00389;SP;721;2663;1942;1851
SP00390;SP;1179;4307;3128;2859
SP00391;SP;1102;3539;2437;2238
SP00392;SP;1290;4859;3569;3317
SP00393;SP;1149;3958;2809;2551
SP00394;SP;798;2651;1853;1719
SP00395;SP;2283;7319;5036;4565
SP00396;SP;966;2981;2015;1839
SP00397;SP;1178;4072;2894;2605
SP00398;SP;991;2787;1796;1594
SP00399;SP;1231;4200;2969;2734
SP00400;SP;650;2153;1503;1380
SP00401;SP;1789;6075;4286;3897
SP00402;SP;1138;4338;3200;2895
SP00403;SP;1906;6930;5024;4519
SP00404;SP;1488;5256;3768;3374
SP00405;SP;1165;4680;3515;3259
SP00406;SP;1108;3867;2759;2477
SP00407;SP;1156;4191;3035;2687
SP00408;SP;2088;7217;5129;4589
SP00409;SP;1391;5537;4146;3675
SP00410;SP;392;1624;1232;1111
SP00411;SP;411;1750;1339;1214
SP00412;SP;532;2247;1715;1566
SP00413;SP;1092;5079;3987;3568
SP00414;SP;512;2489;1977;1785
SP00415;SP;895;3888;2993;2755
