CD_LOC;UF;abstencoes;aptos;comparecimentos;validos
SP00001;SP;3412;10045;6633;6086
SP00002;SP;2937;8476;5539;5059
SP00003;SP;2661;6223;3562;3191
SP00004;SP;1954;6071;4117;3653
SP00005;SP;2723;7574;4851;4286
SP00006;SP;1991;6187;4196;3800
SP00007;SP;4021;9748;5727;5077
SP00008;SP;1540;4250;2710;2422
SP00009;SP;1933;5809;3876;3552
SP00010;SP;3230;9269;6039;5553
SP00011;SP;2573;7822;5249;4769
SP00012;SP;3325;9441;6116;5498
SP00013;SP;1311;4269;2958;2742
SP00014;SP;2720;7153;4433;3934
SP00015;SP;1690;4890;3200;2777
SP00016;SP;1851;4976;3125;2763
SP00017;SP;2707;6847;4140;3704
SP00018;SP;1982;5238;3256;2906
SP00019;SP;1252;4798;3546;3272
SP00020;SP;502;1562;1060;914
SP00021;SP;1170;3914;2744;2386
SP00022;SP;1616;5474;3858;3218
SP00023;SP;581;2029;1448;1264
SP00024;SP;175;629;454;420
SP00025;SP;966;3193;2227;2052
SP00026;SP;458;1515;1057;941
SP00027;SP;1078;3011;1933;1784
SP00028;SP;2895;8070;5175;4726
SP00029;SP;5198;17797;12599;11769
SP00030;SP;987;2911;1924;1764
SP00031;SP;2144;6412;4268;3816
SP00032;SP;3484;11991;8507;8030
SP00033;SP;2464;7735;5271;4792
SP00034;SP;2155;5401;3246;2941
SP00035;SP;1749;5608;3859;3432
SP00036;SP;1940;6716;4776;4457
SP00037;SP;1524;5446;3922;3606
SP00038;SP;2394;8044;5650;5177
SP00039;SP;2055;6391;4336;3981
SP00040;SP;1854;7288;5434;4999
SP00041;SP;1394;4585;3191;2950
SP00042;SP;876;3797;2921;2677
SP00043;SP;857;3049;2192;1985
SP00044;SP;2046;7789;5743;5331
SP00045;SP;845;3377;2532;2298
SP00046;SP;2114;8211;6097;5678
SP00047;SP;1324;4672;3348;3050
SP00048;SP;1248;5609;4361;4021
SP00049;SP;713;2731;2018;1902
SP00050;SP;513;1956;1443;1344
SP00051;SP;3595;9919;6324;5895
SP00052;SP;2032;5165;3133;2746
SP00053;SP;2413;6007;3594;3140
SP00054;SP;1943;5696;3753;3197
SP00055;SP;2835;8226;5391;4660
SP00056;SP;2154;5794;3640;3156
SP00057;SP;1616;4525;2909;2485
SP00058;SP;1839;5387;3548;3095
SP00059;SP;2032;6072;4040;3525
SP00060;SP;2054;6204;4150;3582
SP00061;SP;1697;5110;3413;2995
SP00062;SP;1415;4386;2971;2589
SP00063;SP;1144;2961;1817;1572
SP00064;SP;2171;6208;4037;3511
SP00065;SP;1378;3705;2327;1980
SP00066;SP;1015;2941;1926;1623
SP00067;SP;577;1499;922;799
SP00068;SP;22;86;64;43
SP00069;SP;907;2939;2032;1793
SP00070;SP;1224;4221;2997;2670
SP00071;SP;2465;6547;4082;3615
SP00072;SP;1759;4862;3103;2736
SP00073;SP;5054;14871;9817;8895
SP00074;SP;1539;4599;3060;2770
SP00075;SP;844;2374;1530;1347
SP00076;SP;2611;7781;5170;4521
SP00077;SP;1602;5316;3714;3239
SP00078;SP;1674;6145;4471;4014
SP00079;SP;1627;6753;5126;4484
SP00080;SP;14;57;43;39
SP00081;SP;1791;4985;3194;2755
SP00082;SP;699;2042;1343;1191
SP00083;SP;3412;12710;9298;8373
SP00084;SP;2554;8514;5960;5282
SP00085;SP;2420;7942;5522;4861
SP00086;SP;1781;5934;4153;3692
SP00087;SP;2124;7025;4901;4319
SP00088;SP;2444;8110;5666;5056
SP00089;SP;2032;6261;4229;3816
SP00090;SP;1710;5982;4272;3906
SP00091;SP;2120;6781;4661;4098
SP00092;SP;2336;8010;5674;5030
SP00093;SP;1114;4638;3524;3163
SP00094;SP;1033;3713;2680;2357
SP00095;SP;1884;7262;5378;4657
SP00096;SP;1116;3961;2845;2437
SP00097;SP;1160;4480;3320;2831
SP00098;SP;1337;5038;3701;3156
SP00099;SP;1206;4550;3344;2841
SP00100;SP;1297;4225;2928;2539
SP00101;SP;2177;8957;6780;6001
SP00102;SP;1888;4710;2822;2446
SP00103;SP;745;2478;1733;1529
SP00104;SP;7;23;16;7
SP00105;SP;1240;3570;2330;2184
SP00106;SP;1728;4729;3001;2772
SP00107;SP;1653;5091;3438;3201
SP00108;SP;2710;7706;4996;4672
SP00109;SP;1263;3531;2268;2068
SP00110;SP;1471;4331;2860;2625
SP00111;SP;1692;5405;3713;3463
SP00112;SP;1806;5370;3564;3242
SP00113;SP;1454;4368;2914;2731
SP00114;SP;4244;11524;7280;6663
SP00115;SP;2119;6789;4670;4276
SP00116;SP;4649;13458;8809;8195
SP00117;SP;4232;12258;8026;7396
SP00118;SP;4044;11540;7496;6933
SP00119;SP;3070;8699;5629;5241
SP00120;SP;2439;7492;5053;4694
SP00121;SP;1388;4046;2658;2420
SP00122;SP;690;2338;1648;1510
SP00123;SP;631;2390;1759;1653
SP00124;SP;1721;5471;3750;3417
SP00125;SP;2713;8768;6055;5539
SP00126;SP;1182;3970;2788;2578
SP00127;SP;2179;7300;5121;4725
SP00128;SP;3284;9830;6546;5910
SP00129;SP;2412;8021;5609;5146
SP00130;SP;2393;7718;5325;4865
SP00131;SP;1415;5037;3622;3345
SP00132;SP;1560;4938;3378;3079
SP00133;SP;1286;4191;2905;2648
SP00134;SP;1774;5615;3841;3504
SP00135;SP;3246;10099;6853;5983
SP00136;SP;2744;9241;6497;5815
SP00137;SP;2003;6956;4953;4471
SP00138;SP;985;3114;2129;1891
SP00139;SP;2431;7945;5514;4905
SP00140;SP;1904;5793;3889;3467
SP00141;SP;1408;4594;3186;2804
SP00142;SP;1551;4541;2990;2638
SP00143;SP;2415;8101;5686;5122
SP00144;SP;1825;5788;3963;3611
SP00145;SP;1101;4652;3551;3217
SP00146;SP;1932;7336;5404;4752
SP00147;SP;1789;7272;5483;5016
SP00148;SP;1279;4985;3706;3293
SP00149;SP;862;3452;2590;2234
SP00150;SP;578;2320;1742;1615
SP00151;SP;1300;4988;3688;3066
SP00152;SP;316;857;541;441
SP00153;SP;1798;6503;4705;3830
SP00154;SP;2077;6876;4799;4025
SP00155;SP;1823;6109;4286;3668
SP00156;SP;2211;7080;4869;4038
SP00157;SP;559;1487;928;782
SP00158;SP;1915;5902;3987;3372
SP00159;SP;2448;8207;5759;4847
SP00160;SP;1818;7072;5254;4369
SP00161;SP;2001;7454;5453;4461
SP00162;SP;2083;7705;5622;4624
SP00163;SP;1642;6612;4970;4153
SP00164;SP;1500;5864;4364;3543
SP00165;SP;1270;5151;3881;3088
SP00166;SP;935;3724;2789;2307
SP00167;SP;1645;6528;4883;3930
SP00168;SP;1154;4204;3050;2550
SP00169;SP;1609;6507;4898;3997
SP00170;SP;928;3660;2732;2322
SP00171;SP;1563;6293;4730;3938
SP00172;SP;1110;4627;3517;2935
SP00173;SP;440;1568;1128;942
SP00174;SP;1050;4271;3221;2581
SP00175;SP;1305;4700;3395;2728
SP00176;SP;1195;4725;3530;2946
SP00177;SP;1671;6291;4620;3718
SP00178;SP;2189;8552;6363;5204
