CD_LOC;NM_LOCAL_VOTACAO;DS_ENDERECO;NM_BAIRRO;NR_CEP
SP00549;E.M.E.F. PROF. NOÉ AZEVEDO;RUA SÃO CLETO, 165;VILA IRMAOS ARNONI;2375000
SP00550;EE. CONSELHEIRO RUY BARBOSA;RUA PROF.  ANTÔNIO CASTELAR DE FRANCESCHI, 200;JARDIM SAO MANOEL;2377080
SP00551;E.M.E.F. MARTIN FRANCISCO RIBEIRO DE ANDRADA;RUA PAULO CÉSAR, 126;VILA CACHOEIRA;2311240
SP00552;EE. PEDRO ALEXANDRINO;RUA DOS IMBIRAS, 49;VILA NOVA MAZZEI;2316000
SP00553;E.M.E.F. PROFA. ESMERALDA SALLES PEREIRA RAMOS;RUA MARIA AMÁLIA LOPES AZEVEDO, 2167;JARDIM YARA;2350013
SP00554;EE. PROF. JOÃO BAPTISTA ALVES DA SILVA;RUA MANUEL VIEIRA DA LUZ, 384;SITIO DO PIQUERI;2318020
SP00555;EE. PROF. IZAC SILVÉRIO;RUA BITENCOURT DA SILVA, 218;JARDIM VIRGINIA BIANCA;2356070
SP00556;E.M.E.I. PROF. TAUFIK DAUD KURBAN;RUA MANUEL GAYA, 500;VILA NOVA MAZZEI;2313000
SP00557;EE. PROFA. EUNICE TEREZINHA DE OLIVEIRA FRÁGOAS;AV. ANTONELO DA MESSINA, 222;SITIO DO PIQUERI;2318000
SP00558;EE. DR. PEDRO DE MORAES VICTOR;RUA BOAVENTURA COLETTI, S/N;JARDIM ATALIBA LEONEL;2324100
SP00559;EE. BIBLIOTECÁRIA TEREZINE ARANTES FERRAZ;RUA USHIKICHI KAMIYA, 1300;PARQUE CASA DE PEDRA;2323000
SP00560;E.M.E.F. HIPÓLITO JOSÉ DA COSTA;RUA AUGUSTO RODRIGUES, S/N;JARDIM FONTALIS;2360010
SP00561;E.M.E.F. MARECHAL RONDON;RUA DO BURUI, 120;PARQUE CASA DE PEDRA;2320170
SP00562;E.E PROF. LEÔNIDAS PAIVA;RUA DOS MÁRTIRES ARMÊNIOS, 645;BARRO BRANCO (ZONA NORTE);2345000
SP00563;E.M.E.F. CORONEL HÉLIO FRANCO CHAVES;RUA KOTINDA, 1343;JARDIM CORISCO;2365010
SP00564;EE. PROFA. PHILOMENA BAYLAO;AV. CEL. SEZEFREDO FAGUNDES, 14666;NUCLEO DO ENGORDADOR;2368000
SP00565;EE. LUZIA GODOY;RUA AUSÔNIA, 143;VILA MAZZEI;2308050
SP00566;COLÉGIO UNIVIP ESCOLAS ASSOCIADAS;AV. CEL. SEZEFREDO FAGUNDES, 2805;TUCURUVI;2306003
SP00567;COLÉGIO PASSIONISTA SANTA GEMA;RUA ANTÔNIO PESTANA, 155;TREMEMBE;2370020
SP00568;COLÉGIO OBJETIVO CANTAREIRA;AV. ÁGUA FRIA, 1913;ÁGUA FRIA;2333001
SP00569;CEI. PROFA. CÉLIA REGINA KUHL;RUA CAETANO TEIXEIRA, 291;JARDIM VIRGINIA BIANCA;2355270
SP00570;E.M.E.I. DINA KUTNER DE SOUZA - DINA SFAT;RUA MANUEL ARAÚJO ARAGÃO, 317;JARDIM SANTO ALBERTO;2356170
SP00571;E.M.E.I. MARGARETH DE FÁTIMA MARQUES DE AZEVEDO;RUA AUGUSTO RODRIGUES, 272;JARDIM FONTALIS;2360010
SP00572;EE. PROF. SÉRGIO DA COSTA;RUA PRESIDENTE BARTOLOMÉ MITRE, 298;JARDIM MARTINS SILVA;2361040
SP00573;E.M.E.I. PROFA. EUDÓXIA DE BARROS;RUA SÔNIA MARGY, 246;PARQUE CASA DE PEDRA;2351000
SP00574;E.M.E.F. JARDIM FONTALIS;RUA CRISÂNTEMO, 100;JARDIM FLOR DE MAIO;2363155
SP00575;E.E. LEOVERGILIO MOREIRA;RUA CARLOS MARTEL, 11;JARDIM ATALIBA LEONEL;2324070
SP00576;PRESÍDIO DA POLÍCIA MILITAR ROMÃO GOMES;AV. TENENTE JÚLIO PRADO NEVES, 451;VILA ALBERTINA;2370000
SP00577;COLÉGIO JOÃO XXIII;RUA JOSÉ ZAPPI, 165;VILA PRUDENTE;3128140
SP00578;EE. PROFª ANNITA ATALLA;RUA LOURENÇO CAETANO DA SILVA, 18;JARDIM AVELINO;3227020
SP00579;EE. PROFª CAROLINA AUGUSTA DA COSTA GALVÃO;RUA MARIA DAFFRÉ, 406;QUINTA DA PAINEIRA;3150020
SP00580;EE. PROF. ANDRÉ DREYFUS;RUA PEDRO DE GODÓI, 170;PARQUE DA VILA PRUDENTE;3138010
SP00581;EE. REPÚBLICA DO PARAGUAY;RUA GENOVEVA D'ASCOLI, S/N;VILA PRUDENTE;3132070
SP00582;EMEF. PROFª RUTH LOPES ANDRADE;RUA JUNDIAPEBA, 177;VILA ZELINA;3143050
SP00583;EE. PROF. AMÉRICO DE MOURA;RUA MENDONÇA CORTE REAL, S/N;JARDIM AVELINO;3227110
SP00584;EMEF. BARÃO DE MAUÁ;RUA MADRID, 550;PARQUE SEVILHA;3157010
SP00585;EE. PROFª JÚLIA MACEDO PANTOJA;RUA ASSUPÁ, 200;VILA PRUDENTE;3137050
SP00586;ETEC JOSÉ ROCHA MENDES;RUA AMÉRICO VESPUCCI, 1241;VILA PRUDENTE;3135010
SP00587;EE. PROF. JOSÉ HEITOR CARUSI;RUA COMENDADOR ROBERTO UGOLINI, 300;PARQUE DA MOOCA;3125010
SP00588;EE. DR. JOY ARRUDA;RUA BATUNS, 52;VILA SANTA CLARA;3273410
SP00589;EE. ANDRÉ OHL;AV. SAPOPEMBA, 3244;VILA DIVA;3345000
SP00590;EE. STEFAN ZWEIG;RUA GENARO ARILA ARENSANZ, 225;VILA IVONE;3275090
SP00591;EE. JOSÉ CHEDIAK;AV. DO ORATÓRIO, 2320;PARQUE SAO LUCAS;3220100
SP00592;EMEF. CLEÓMENES CAMPOS;RUA BARTOLOMEU CORREA BUENO, 268;JARDIM TERESA;3261040
SP00593;EE. PROFª JULIETA NOGUEIRA RINALDI;RUA IELMO MARINHO, 940;PARQUE SAO LUCAS;3236030
SP00594;EMEF. PROFª ÁUREA RIBEIRO XAVIER LOPES;RUA CARMINHA, 103;PARQUE SAO LUCAS;3240040
SP00595;EMEF. MARECHAL MASCARENHAS DE MORAES;RUA DR. CAMILO HADDAD, 234;VILA ANADIR;3266000
SP00596;EE. PROFª BRANCA DE CASTRO DO CANTO E MELLO;RUA COSTA BARROS, 2521;SITIO PINHEIRINHO;3210001
SP00597;EMEF. PROF. QUEIROZ FILHO;RUA FERNANDES SARDINHA, 22;VILA BELA;3147020
SP00598;EE. PROF. MÁRIO CASASSANTA;RUA PARAMU, 693;VILA BELA;3147100
SP00599;EE. DR. FRANCISCO BORGES VIEIRA;RUA PARATIQUARA, 67;VILA ALPINA;3209040
SP00600;EE. JOÃO FIRMINO DE CAMPOS;RUA VISCONDE DE ALCÂNTARA, 350;VILA ALPINA;3205060
SP00601;EE. PROFª OLGA BENATTI;RUA IBITIRAMA, 1412;VILA BELA;3134001
SP00602;EMEF. IRINEU MARINHO;RUA JACARAÍPE, 478;QUINTA DA PAINEIRA;3152150
SP00603;EE. PROFª BRISABELLA DE ALMEIDA NOBRE;RUA SANTA GENOVEVA, 47;VILA CALIFÓRNIA;3213050
SP00604;EMEF. GENERAL OSÓRIO;RUA ARARIPÉ, 317;VILA CALIFÓRNIA;3215010
SP00605;EE. PROF. MÁRIO MARQUES DE OLIVEIRA;RUA BUENÓPOLIS, 234;VILA SANTA CLARA;3161010
SP00606;EE. PROF. CLEMENTE QUÁGLIO;RUA MANUEL ONHA, 234;VILA ORATORIO;3192100
SP00607;EMEF. MAJOR SÍLVIO FLEMING;RUA PAULO DE LIMA CORREA, 65;VILA ORATORIO;3193060
SP00608;EE. DR. SECUNDINO DOMINGUEZ FILHO;RUA SECUNDINO DOMINGUES, 136;JARDIM INDEPENDENCIA;3223110
SP00609;EE. PROF. OSWALDO GUERNER GONZALES;RUA CARUSO, 314;VILA ALPINA;3211060
SP00610;COLÉGIO FRANCISCANO SÃO MIGUEL ARCANJO;RUA  CAMPOS NOVOS, 153;VILA ZELINA;3145020
SP00611;EMEI PROF. SEBASTIÃO SANCHES MARTINES;AV. SÃO LUCAS, 284;PARQUE SAO LUCAS;3239000
SP00612;CENTRO DE ESTUDOS DE LINGUAS PANTOJA;RUA CANANÉIA, 626;VILA PRUDENTE;3131010
SP00613;EMEI PROF. ANTONIO RUBBO MULLER;RUA CARMINHA, 123;PARQUE SAO LUCAS;3240040
SP00614;COLÉGIO FRANCISCANO N. S. CARMO - FRANSCARMO;RUA COSTA BARROS, 478;VILA ALPINA;3210000
SP00615;EMEI BRENNO FERRAZ DO AMARAL;RUA JACITARA TIPITI, 217;JARDIM GUAIRACA;3244090
SP00616;CIVITATIS CENTRO EDUCACIONAL E CULTURAL;RUA FALCHI GIANINI, 842;VILA PRUDENTE;3136040
SP00617;CEU VILA ALPINA;RUA JOÃO PEDRO LÉCOR, 141;JARDIM AVELINO;3227190
SP00618;EE. PROFª LUIZA MENDES CORREA SOUZA;AV. PROF. LUIZ IGNÁCIO ANHAIA MELLO, 5796;VILA PAULO SILAS;3294100
SP00619;CEMEI VILA ALPINA;RUA JOÃO PEDRO LÉCOR, 191;JARDIM AVELINO;3227190
SP00620;CDP DE VILA INDEPENDÊNCIA;AV. DR. FRANCISCO MESQUITA, 250;VILA INDEPENDENCIA;3153001
SP00621;COLÉGIO CATAMARÃ;AV. JURUCÊ, 406;INDIANÓPOLIS;4080011
SP00622;CEB - CENTRO EDUCACIONAL BRANDÃO;ALAMEDA DOS TUPINIQUINS, 997;INDIANÓPOLIS;4077002
SP00623;EE. CÉSAR MARTINEZ;ALAMEDA IRAÉ, 155;INDIANÓPOLIS;4088000
SP00624;COLÉGIO AUGUSTO LARANJA;RUA DOS CHANÉS, 205;INDIANÓPOLIS;4087030
SP00625;COLÉGIO NOSSA SENHORA APARECIDA - CONSA;AV. JURITI, 368;INDIANÓPOLIS;4523011
SP00626;COLÉGIO INTERNACIONAL ÍTALO BRASILEIRO;AV. JANDIRA, 455;INDIANÓPOLIS;4080002
SP00627;EE. PROF. ALBERTO LEVY;AV. INDIANÓPOLIS, 1570;INDIANÓPOLIS;4062001
SP00628;MÓBILE ESCOLA PRÁTICA DE ESTUDOS ELEMENTARES;RUA DIOGO JÁCOME, 818;VILA NOVA CONCEIÇÃO;4512001
SP00629;EE. PROF. LOURENÇO FILHO;ALAMEDA DOS TACAÚNAS, 181;PLANALTO PAULISTA;4068020
SP00630;AUBRICK - ESCOLA BILÍNGUE MULTICULTURAL;R. DEMÓSTENES, 231 - CAMPO BELO, SÃO PAULO - SP;CAMPO BELO;4614011
SP00631;EMEF. PROF. JOÃO CARLOS DA SILVA BORGES;PRAÇA DOS ARANÃS, S/N;PLANALTO PAULISTA;4077003
SP00632;COLÉGIO VÉRTICE;RUA VIEIRA DE MORAIS, 172;CAMPO BELO;4617000
SP00633;COLÉGIO MAGNO;RUA JOÃO DE SOUSA DIAS, 851;CAMPO BELO;4618003
SP00634;EMEF. DONA CHIQUINHA RODRIGUES;RUA PASCAL, 1028;CAMPO BELO;4616003
SP00635;EMEF. MINISTRO CALÓGERAS;RUA ALSÁCIA, 59;JARDIM AEROPORTO;4630010
SP00636;INSTITUTO EDUCACIONAL BEATÍSSIMA VIRGEM MARIA;RUA DAS MARGARIDAS, 36;SANTO AMARO;4703002
SP00637;COLÉGIO CECI;RUA FLÓRIDA, 943;CIDADE MONÇÕES;4565000
SP00638;EE. PROF. ÊNNIO VOSS;AV. PORTUGAL, 1220;BROOKLIN PAULISTA;4559002
SP00639;EE. OSWALDO ARANHA;AV. PORTUGAL, 859;CIDADE MONÇÕES;4565000
SP00640;TOM JOBIN GURI SANTA MARCELINA;AV. PADRE ANTONIO JOSÉ DOS SANTOS, 1019;CIDADE MONÇÕES;4563013
SP00641;EE. MÁRIO DE ANDRADE;RUA JOAQUIM NABUCO, 570;BROOKLIN PAULISTA;4621003
SP00642;EMEF. BERNARDO O' HIGGINS;RUA HELADE, S/N;VILA ALEXANDRIA;4635022
SP00643;EE. FLÁVIA VIZIBELLI PIRRÓ;RUA ORLANDO MURGEL, S/N;PARQUE JABAQUARA;4358130
SP00644;EE. PROF. NAPOLEÃO DE CARVALHO FREIRE;RUA ILAMÔNIA, 246;JARDIM NOVO MUNDO;4518060
SP00645;COLÉGIO PAULICÉIA;RUA DR. JESUINO MACIEL, 1833;CAMPO BELO;4615005
SP00646;BRAZILIAN INTERNATIONAL SCHOOL;AV. IRAÍ, 1330;INDIANÓPOLIS;4082003
SP00647;COLÉGIO ANHEMBI MORUMBI;RUA BACAETAVA, 374;BROOKLIN PAULISTA;4705010
SP00648;ESCOLA CLÁRITAS;AV. CECI, 1081;PLANALTO PAULISTA;4065001
SP00649;EMEF. DOUTOR JOSÉ DIAS DA SILVEIRA;RUA ROQUE PETRELLA,1054;VILA CORDEIRO;4581051
SP00650;DOMINUS VIVENDI;AV. MASCOTE, 913;VILA MASCOTE;4363001
SP00651;EE. ALMIRANTE BARROSO;AV. JABAQUARA, 2875;MIRANDÓPOLIS;4045004
SP00652;EE. PROF. DANDOLO FREDIANI;RUA GASTÃO DA CUNHA, 364;VILA PAULISTA;4361090
SP00653;COLÉGIO ARQUIDIOCESANO;RUA DOMINGOS DE MORAIS, 2565;VILA AFONSO CELSO;4035000
SP00654;LICEU PASTEUR UNIDADE MAIRINQUE;RUA MAIRINQUE, 256;VILA CLEMENTINO;4037020
SP00655;CENTRO EDUCACIONAL PIONEIRO FUNDAÇÃO MICHIE AKAMA;AV. DOUTOR ALTINO ARANTES, 1098;VILA CLEMENTINO;4042030
SP00656;COLÉGIO NOSSSA SENHORA DO ROSÁRIO;AV. DR. ALTINO ARANTES,82;VILA CLEMENTINO;4042030
SP00657;INSTITUTO SANTA AMÁLIA;AV. JABAQUARA, 1673;SAÚDE;4045003
SP00658;EE. PROF. PEDRO VOSS;RUA JOSÉ DE MAGALHÃES, 477;VILA CLEMENTINO;4026090
SP00659;EE. LASAR SEGALL;RUA DR. THIRSO MARTINS, 211;VILA AFONSO CELSO;4120050
SP00660;FUNDAÇÃO DORINA NOWILL PARA CEGOS;RUA DR. DIOGO DE FARIA, 558;VILA CLEMENTINO;4037001
SP00661;EE. PRINCESA ISABEL;RUA IBIRAREMA, 341;BOSQUE DA SAÚDE;4136000
SP00662;LICEU PASTEUR UNIDADE VERGUEIRO;RUA VERGUEIRO, 3799;VILA MARIANA;4101300
SP00663;EE. BRASÍLIO MACHADO;RUA AFONSO CELSO,311;VILA AFONSO CELSO;4119001
SP00664;EE. PROFA. HELENA LEMMI;RUA JUÁ, 246;SAÚDE;4138020
SP00665;EE. CONDE JOSÉ VICENTE DE AZEVEDO;RUA GUARAREMA, 365;BOSQUE DA SAÚDE;4136030
SP00666;EE. RUI BLOEM;RUA DOS BOGARIS, 244;MIRANDOPOLIS;4047020
SP00667;UNIP UNIDADE LUÍS GÓIS;RUA DR. BACELAR, 1.212;MIRANDOPOLIS;4026002
SP00668;FAMESP FACULDADE MÉTODO DE SÃO PAULO;AVENIDA JABAQUARA, 1314 E 1324;MIRANDOPOLIS;4046200
SP00669;EE. ÉRICO DE ABREU SODRÉ;RUA PROFA. LUDOVINA CREDIDIO PEIXOTO, 98;CHACARA INGLESA;4139070
SP00670;COLÉGIO OEMAR;RUA JAGUARI, 364;BOSQUE DA SAÚDE;4137080
SP00671;EE. ANTÔNIO ALCÂNTARA MACHADO;RUA ITAIBI, S/N;VILA GUMERCINDO;4130050
SP00672;EE. CEL. RAUL HUMAITÁ VILLA NOVA;RUA MAESTRO JOÃO BATISTA JULIÃO, S/N;VILA FIRMIANO PINTO;4124090
SP00673;EE. ANTÔNIO CASTELAR DE FRANCESCHI;RUA DOM PERO SARDINHA, 115;VILA GUMERCINDO;4134050
SP00674;EE. PROFA. MARIA RIBEIRO GUIMARÃES BUENO;RUA VUTURUNA, 190;VILA DO BOSQUE;4147080
SP00675;EMEI. PROFA. THEREZINHA BATISTA PETTAN;RUA VIGÁRIO ALBERNAZ, 834;VILA GUMERCINDO;4134021
SP00676;COLÉGIO RENOVAÇÃO;RUA BENTO DE FARIA, 129;BOSQUE DA SAÚDE;4151020
SP00677;EMEI. TENENTE PAULO ALVES;RUA JOSÉ DE CAMARGO, 259;SAÚDE;4139010
SP00678;COLÉGIO CONTE - ANTIGO COLÉGIO TERRA;RUA CARNEIRO DA CUNHA, 451;VILA DA SAUDE;4144000
SP00679;EE.  PROFA. LYGIA DE AZEVEDO SOUZA E SÁ;RUA DR. MAURÍCIO DE LACERDA, 322;VILA MONTE ALEGRE;4303191
SP00680;FACULDADES RADIAL-   FACULDADE SÃO JUDAS;AVENIDA JABAQUARA, 1870;SAÚDE;4046300
SP00681;COLÉGIO ARCADIA;RUA CATULO DA PAIXÃO CEARENSE, 867;VILA DA SAUDE;4145011
SP00682;COLÉGIO ARNOSO COSTA;AV. FAGUNDES FILHO, 684;VILA MONTE ALEGRE;4304000
SP00683;UNIFAI VILA MARIANA;RUA AFONSO CELSO, 671/711;VILA MARIANA;4119000
SP00684;COLÉGIO SANTA HELENA I;RUA RAMALHO ORTIGÃO, 235;VILA GUMERCINDO;4130010
SP00685;COLÉGIO CARDEAL LIZARTE;RUA TIQUATIRA, 243;BOSQUE DA SAÚDE;4137110
SP00686;EE. VISCONDE DE ITAÚNA;RUA SILVA BUENO, 1412;IPIRANGA;4208001
SP00687;ETEC GETÚLIO VARGAS;RUA CLÓVIS BUENO DE AZEVEDO, 70;IPIRANGA;4266040
SP00688;EE. FRANCISCO DE ASSIS REYS;RUA BOM PASTOR, 1560;IPIRANGA;4203002
SP00689;CENTRO INTERESCOLAR OBJETIVO - UNIDADE IPIRANGA;RUA PADRE MARCHETTI, 235;IPIRANGA;4266000
SP00690;EE. SEMINÁRIO NOSSA SENHORA DA GLÓRIA;RUA MOREIRA DE GODÓI, 399;IPIRANGA;4266060
SP00691;EE MILDRE ÁLVARES BIAGGI;RUA MONT'ALVERNE, 91;VILA SAO JOSE;4265060
SP00692;EE. ALEXANDRE DE GUSMÃO;RUA CISPLATINA, 298;IPIRANGA;4211040
SP00693;EE. JÚLIO DE MESQUITA FILHO;RUA AGOSTINHO GOMES,  601;IPIRANGA;4206000
SP00694;PONTIFÍCIA UNIVERSIDADE CATÓLICA - IPIRANGA;AV. NAZARÉ, 993;IPIRANGA;4263100
SP00695;EE. PROF. ODON CAVALCANTI;RUA BAMBORÉ, 546;IPIRANGA;4278060
SP00696;INSTITUTO DE CEGOS PADRE CHICO;AV. NAZARÉ, 943;IPIRANGA;4263100
SP00697;COLÉGIO SÃO FRANCISCO XAVIER;RUA VICENTE DA COSTA, 39;IPIRANGA;4266010
SP00698;EE. PROF. JOSÉ ESCOBAR;RUA GREENFELD, 130;IPIRANGA;4218100
SP00699;EMEF. ANTONIO DE ALCÂNTARA MACHADO;RUA BELGRADO, 74;VILA MOINHO VELHO;4285040
SP00700;COLÉGIO URSA MAIOR;RUA CEL. FRANCISCO INACIO, 1483;VILA MOINHO VELHO;4286000
SP00701;COLÉGIO LUTERANO;RUA PROF. VILALVA JÚNIOR, 73;VILA MOINHO VELHO;4285120
SP00702;COLÉGIO VIRGEM PODEROSA;PRAÇA FREDERICO OSANAN, 158;VILA MOINHO VELHO;4286010
SP00703;EE. JACQUES MARITAIN;RUA LARANJAL, 36;VILA MARTE;4250100
SP00704;EE. PROF. GUALTER DA SILVA;RUA ANATOLE FRANCE, 76;VILA MOINHO VELHO;4283050
SP00705;EE. PROFª MARIA ODILA GUIMARÃES BUENO;RUA AMÉRICO SAMARONE, 350;VILA MOINHO VELHO;4284000
SP00706;EE. PROF. DEMÓSTHENES MARQUES;RUA ALENCAR ARARIPE, 611;SACOMÃ;4253000
SP00707;EE. PROF. ATALIBA DE OLIVEIRA;RUA SÃO SILVESTRE, 400;SAO JOAO CLIMACO;4255080
SP00708;EE. PROF. ASTROGILDO SILVA;RUA RENATO DE RANIERI, S/N;JARDIM PATENTE;4243130
SP00709;EE. MANUELA LACERDA VERGUEIRO;RUA TAMUATÁ, 176;SAO JOAO CLIMACO;4255140
SP00710;EE. MELVIN JONES;RUA LEANDRO DE SOUZA, 65;SAO JOAO CLIMACO;4256050
SP00711;EE. PRES. TANCREDO NEVES;RUA BARBINOS, S/N - ESQUINA COM AV. MARGINAL;SAO JOAO CLIMACO;4240110
SP00712;EE. NOSSA SENHORA APARECIDA;RUA ÁLVARO FRAGOSO, 734;VILA INDEPENDENCIA;4223000
SP00713;EMEF. DES. FRANCISCO MEIRELLES;RUA CAMPANTE, 357;VILA INDEPENDENCIA;4224010
SP00714;EMEI PRINCESA ISABEL;RUA AMADIS, 453;VILA INDEPENDENCIA;4221000
SP00715;EE. PROFª EURYDICE ZERBINI;RUA EPIACABA, 547;VILA ARAPUA;4257170
SP00716;EMEF. LUIZ GONZAGA DO NASCIMENTO JÚNIOR;ESTRADA DAS LÁGRIMAS, 1029;SACOMÃ;4232000
SP00717;EMEF. PRESIDENTE CAMPOS SALLES;RUA CAVALHEIRO FRONTINI, 87;SAO JOAO CLIMACO;4241000
SP00718;EMEF. PÉRICLES EUGÊNIO DA SILVA RAMOS;RUA BARBINOS, 111 (EMEI CEU MENINOS);SAO JOAO CLIMACO;4240110
SP00719;CENTRO EDUCACIONAL UNIFICADO MENINOS;RUA BARBINOS, 111;SAO JOAO CLIMACO;4240110
SP00720;EMEI ANTONIO FRANCISCO LISBOA;LARGO DE SÃO JOÃO CLÍMACO, 12;SAO JOAO CLIMACO;4255010
SP00721;CENTRO EDUCACIONAL SESI;RUA BOM PASTOR, 654;IPIRANGA;4203000
SP00722;COLÉGIO RUMO INICIAL;ESTRADA DAS LÁGRIMAS, 2282;SAO JOAO CLIMACO;4232000
SP00723;EMEF DR. ABRÃO HUCK;RUA ALENCAR ARARIPE, 261;SACOMÃ;4253000
SP00724;EE. PADRE FRANCISCO JOÃO DE AZEVEDO;RUA ALCINDO FERREIRA, 2;JARDIM CRUZEIRO;4803170
SP00725;EE. PROFª  BEATRIZ LOPES;RUA GUARUVA, 384;CIDADE DUTRA;4807030
SP00726;EMEF. DR. MIGUEL VIEIRA FERREIRA;PRAÇA ESCOLAR, S/N;CIDADE DUTRA;4810140
SP00727;EE. PROF. DR. LAERTE RAMOS DE CARVALHO;RUA ANÍBAL DOS ANJOS CARVALHO, 5;VILA SANTA MARIA;4810050
SP00728;EMEF. ENGENHEIRO JOSÉ AMADEI;RUA RAIMUNDO LOPES, 115;JARDIM SATELITE;4816090
SP00729;EE. PROF. JOSÉ VIEIRA DE MORAES;RUA FREDERICO RENE DE JAEGHER, 206;RIO BONITO;4826000
SP00730;EMEF. DR. AFRÂNIO DE MELLO FRANCO;RUA ACAMBARO, 39;JARDIM CLIPER;4827250
SP00731;EMEF. JOÃO DE DEUS CARDOSO DE MELLO;R MANOEL VITORINO PEREIRA, 220;JORDANÓPOLIS;4830020
SP00732;EE. JERÔNYMO MONTEIRO;RUA JOAQUIM DOS SANTOS, 539;VILA RUBI;4823080
SP00733;EE. PROF. GIULIO DAVID LEONE;RUA RIBEIRA DO VOUGA, 91;JARDIM PRESIDENTE;4830180
SP00734;EE. DEPUTADO AURÉLIO CAMPOS;RUA OLIMPIO DE OLIVEIRA CHALEGRE, 137;VILA DA PAZ;4777040
SP00735;EMEF. PAULO SETUBAL;RUA FRANCISCO DE CALDAS, 50;JARDIM ANA LUCIA;4812070
SP00736;EE. MAESTRO CALLIA;RUA JOB VAZ DO AMARAL, 139;JARDIM LALLO;4812240
SP00737;EE. PROF. ADOLFO CASAIS MONTEIRO;AVENIDA MANUEL ALVES SOARES, 659;JARDIM COLONIAL;4821270
SP00738;EE. MADEMOISELLE PERILLIER;RUA CAROLINA MICHAELIS, 138;JARDIM DAS IMBUIAS;4829170
SP00739;EMEI. SÉRGIO CARDOSO;RUA DJALMA PESSOLATO, 57;JARDIM SATELITE;4815120
SP00740;EE. PROF. JAYR DE ANDRADE;RUA LUIZ VIANA, 110;JORDANÓPOLIS;4830400
SP00741;EE. MAESTRO HEITOR VILLA-LOBOS;AVENIDA DO ARVOREIRO, 107;PARQUE DAS ARVORES;4824010
SP00742;EE. PROFª CLARICE SEIKO IKEDA CHAGAS;AVENIDA PAULO COSTA RIBEIRO BASTOS, S/N;JARDIM GUANHEMBU;4814720
SP00743;EMEF. PROFª MARINA MELANDER COUTINHO;AVENIDA RUBENS MONTANARO DE BORBA, 862;JARDIM REGIS;4811120
SP00744;EE. PROF. ALEXANDRE ANSALDO MOZZILLI;RUA DR. FRANCISCO LOUREIRO, 180;JARDIM MARIA RITA;4814150
SP00745;CEU. EMEF CIDADE DUTRA;RUA CRISTINA DE VASCONCELOS CECCATO, 111;CIDADE DUTRA;4777000
SP00746;EMEI. DR. ALBERT SABIN;RUA JOÃO PAULO DA SILVA, 259;VILA DA PAZ;4777020
SP00747;CEU. EMEF VILA RUBÍ;RUA DOMINGOS TARROSO, 101;VILA RUBI;4823090
SP00748;CEU. EMEI MILTON SANTOS;AVENIDA INTERLAGOS, 7350;CIDADE DUTRA;4777000
SP00749;EMEI. LUIS TRAVASSOS;RUA SANTO ANTONIO DO CÂNTARO, 88;JARDIM BONITO;4829090
SP00750;EMEF GENY MARIA MUNIZ ALMEIDA KLEIN PUSSINELLI;RUA ANTONIO CALIXTO DA SILVA 85;VILA SANTA MARIA;4809240
SP00751;EMEI. ÂNGELO KRETÃ;RUA NOVA DELHI, 560;JARDIM EDITH;4813240
SP00752;EE. SANTO DIAS DA SILVA;RUA ALFREDO CORTÊS, 32;JARDIM MARINGA;4814070
SP00753;EMEI ORLANDO VILLAS BOAS;AVENIDA PAULO COSTA RIBEIRO BASTOS, S/N;JARDIM GUANHEMBU;4814720
SP00754;ETEC IRMÃ AGOSTINA;AVENIDA FELICIANO CORREIA, S/N;JARDIM SATELITE;4815240
SP00755;EMEF. OLEGARIO MARIANO;RUA ANTONIO BORGES DA FONSECA, 15;JARDIM FLORESTA;4836120
SP00756;EMEF. PROF. MILTON FERREIRA DE ALBUQUERQUE;RUA GEORGINA BOCHIGLIERI, 314;JARDIM ROSALINA;4835250
SP00757;EE. PROFA. MARIA AMÉLIA BRAZ;RUA FREI AMADOR ARRAIS, 100;JARDIM SÃO RAFAEL;4860050
SP00758;EE. HOMERO VAZ DO AMARAL;RUA BREST, 2;JARDIM KIOTO;4832060
SP00759;EE. JOSÉ DUARTE JUNIOR;RUA DOMINGOS FAUSTINO SARMIENTO, 422;JARDIM ALPINO;4836360
SP00760;EE. PROF. ALBERTO SALOTTI;AV CARLOS OBERHUBER, 90;VILA SÃO JOSÉ;4836130
SP00761;EE. PROFA. VERA ATHAYDE PEREIRA;RUA LECONTE DE LISLE, 300;JARDIM VISTA ALEGRE;4831130
SP00762;EMEF. PROF. FLORESTAN FERNANDES;AV. MARGUERITE LONG, 41;JARDIM GUANABARA;4860320
SP00763;EMEF. CARLOS FRANCISCO GASPAR (ANTIGA EMEF. GRANJA N. SRA. APARECIDA);RUA HANS CHRISTIAN HANDERSEN, 67;GRANJA NOSSA SENHORA APARECIDA;4860110
SP00764;EMEI. PROFA. ODILÉA BOTTA DE MATTOS;RUA VENÂNCIO POLETTI, 181;JARDIM FLORESTA;4836110
SP00765;EE DOUTOR CARLOS AUGUSTO DE FREITAS VILLALVA JÚNIOR;AV. ENGENHEIRO ARMANDO DE ARRUDA PEREIRA, 506;V PQ JABAQUARA;4308000
SP00766;EE CORONEL DOMINGOS QUIRINO FERREIRA;AV. DO CAFÉ, 681;VILA GUARANI;4311001
SP00767;EMEF PROFESSOR NELSON PIMENTEL QUEIROZ;AV.  LEONARDO DA VINCCI, 1371;VILA GUARANI;4313001
