CD_LOC;NM_LOCAL_VOTACAO;DS_ENDERECO;NM_BAIRRO;NR_CEP
SP00047;COLÉGIO FACULDADE CLARETIANO;RUA MARTIM FRANCISCO, 604;SANTA CECILIA;1226000
SP00048;COLÉGIO INTERNACIONAL EMECE;RUA CORONEL MELO OLIVEIRA, 867;VILA POMPEIA;5011040
SP00049;COLÉGIO EQUIPE;RUA SÃO VICENTE DE PAULA, 374;SANTA CECILIA;1229010
SP00050;FACULDADE SANTA MARCELINA;RUA DR. EMÍLIO RIBAS, 89;PERDIZES;5006020
SP00051;COLÉGIO RIO BRANCO;AV. HIGIENÓPOLIS, 996;HIGIENOPOLIS;1238000
SP00052;COLÉGIO DE SÃO BENTO;LARGO DE SÃO BENTO,S/N;CENTRO;1029010
SP00053;ETEC SANTA IFIGÊNIA;RUA GENERAL COUTO DE MAGALHÃES, 145;SANTA IFIGENIA;1212030
SP00054;EE. PRUDENTE DE MORAES;PRAÇA CORONEL FERNANDO PRESTES, 197;BOM RETIRO;1124060
SP00055;FATEC FACULDADE DE TECNOLOGIA DE SÃO PAULO;AV. TIRADENTES, 615;LUZ;1101010
SP00056;EE. DE SÃO PAULO;RUA DA FIGUEIRA, 500;BRAS;3003000
SP00057;COLÉGIO DE SANTA INÊS;RUA TRES RIOS, 362;BOM RETIRO;1123000
SP00058;EE. MARECHAL DEODORO;RUA DOS ITALIANOS, 405;BOM RETIRO;1131000
SP00059;SENAI;RUA MONSENHOR DE ANDRADE, 298;BRAS;3008000
SP00060;EE. PADRE ANCHIETA;RUA VISCONDE DE ABAETÉ, 154;BRAS;3012050
SP00061;EE. EDUARDO PRADO;RUA ALMIRANTE BARROSO, 225;BRAS;3025000
SP00062;EE. DOMINGOS FAUSTINO SARMIENTO;RUA VINTE E UM DE ABRIL, 970;BRAS;3047000
SP00063;ETEC. CARLOS DE CAMPOS;RUA MONSENHOR DE ANDRADE, 798;BRAS;3009100
SP00064;INSTITUTO FEDERAL;RUA PEDRO VICENTE, 625;CANINDE;1109010
SP00065;EE. ORESTES GUIMARÃES;RUA CANINDÉ, 153;CANINDE;3033000
SP00066;EE. FREI PAULO LUIG;AV. DR. CARLOS DE CAMPOS, 841;PARI;3028001
SP00067;EMEF. ESPAÇO DE BITITA;RUA COMENDADOR NESTOR PEREIRA, 285;CANINDE;3034160
SP00068;FUNDAÇÃO CASA - COMPLEXO BRÁS;RUA CORONEL MURSA, 270;BRAS;3043050
SP00069;ESCOLA ESTADUAL CANUTO DO VAL;RUA SOLIMÕES, 460;VARZEA DA BARRA FUNDA;1138020
SP00070;INSTITUTO EDUCACIONAL BONI CONSILII;ALAMEDA BARÃO DE LIMEIRA,1379;BARRA FUNDA;1202020
SP00071;LICEU CORAÇÃO DE JESUS;ALAMEDA DINO BUENO, 285;CAMPOS ELISEOS;1217000
SP00072;EE. DOUTOR ALARICO SILVEIRA;RUA CONSELHEIRO BROTERO, 100;BARRA FUNDA;1154000
SP00073;FACULDADES OSWALDO CRUZ;RUA BRIGADEIRO GALVÃO, 540;BARRA FUNDA;1151000
SP00074;ESCOLA ESTADUAL CONSELHEIRO ANTONIO PRADO;RUA VITORINO CARMILO, 621;BARRA FUNDA;1153000
SP00075;ESCOLA ESTADUAL JOÃO KOPKE;ALAMEDA CLEVELAND, 331;CAMPOS ELISEOS;1218000
SP00076;COLÉGIO PRESBITERIANO DO BRÁS;RUA SÃO LEOPOLDO, 326;BELENZINHO;3055000
SP00077;CONJUNTO EDUC. E ASSISTENCIAL ANTÔNIO DEVISATE - SESI;RUA CATUMBÍ, 318;BRAS;3021000
SP00078;COLÉGIO AGOSTINIANO SÃO JOSÉ;RUA MARQUÊS DE ABRANTES, 365;CHACARA TATUAPE;3060020
SP00079;INSTITUTO NOSSA  SENHORA AUXILIADORA;RUA PASSOS, 36;BELENZINHO;3058010
SP00080;FUNDAÇÃO CASA - COMPLEXO BELÉM;AV. CONDESSA ELIZABETH ROBIANO, 450;BELEM;3074000
SP00081;EE. PROF. ANTONIO FIRMINO DE PROENÇA;RUA DA MOÓCA, 363;MOOCA;3103000
SP00082;EE. GIANFRANCESCO GUARNIERI;RUA ITAPIRA, 183;MOOCA;3102060
SP00083;UNIVERSIDADE SÃO JUDAS TADEU;RUA TAQUARI, 546;MOOCA;3166000
SP00084;ETE. PROF. CAMARGO ARANHA;RUA BRESSER, 2909;MOOCA;3162030
SP00085;COLÉGIO SÃO JUDAS TADEU;RUA CLARK, 213;MOOCA;3167070
SP00086;EE. DR. ANTÔNIO DE QUEIROZ TELLES;RUA ITAQUERÍ, 372;ALTO DA MOOCA;3178000
SP00087;EE. PLÍNIO BARRETO;RUA SIQUEIRA BUENO, 2123;BELENZINHO;3173010
SP00088;ESCOLA ESTADUAL M.M.D.C.;RUA CUIABÁ, 667;ALTO DA MOOCA;3183001
SP00089;EE. PANDIÁ CALÓGERAS;AV. PAES DE BARROS, 1025;MOOCA;3115020
SP00090;DIRETORIA DE ENSINO REGIÃO LESTE 5;RUA CELSO DE AZEVEDO MARQUES, 502;PARQUE DA MOOCA;3122010
SP00091;EE. PROF. ANDRÉ XAVIER GALLICHO;RUA DA MOÓCA, 4650;MOOCA;3165002
SP00092;EXTERNATO NOSSA SENHORA MENINA;RUA DO ORATÓRIO, 2621;ALTO DA MOOCA;3195100
SP00093;COLÉGIO NOSSA SENHORA DE LOURDES;RUA AURELIANO LESSA, 159;VILA REGENTE FEIJO;3342010
SP00094;EE. PROF. THEODORO DE MORAES;AV. REGENTE FEIJÓ, 586;VILA REGENTE FEIJO;3342000
SP00095;EE. PROF. WOLNY CARVALHO RAMOS;RUA BOM JESUS, 909;VILA REGENTE FEIJO;3344000
SP00096;EMEF. EMILIANO DI CAVALCANTI;RUA ALMIRANTE  ALEXANDRINO, 541;VILA INVERNADA;3350010
SP00097;EE. ISAÍ LEIRNER;RUA PLÁCIDO DE CASTRO, 221;VILA INVERNADA;3349030
SP00098;EMEF. LEONOR MENDES DE BARROS;RUA RAIMUNDO CORREIA, 5;VILA DIVA;3351050
SP00099;EE. PROFA. ANNA TEIXEIRA PRADO ZACHARIAS;RUA PAULINA, 149;CHACARA MAFALDA;3370040
SP00100;EE. GUERINO RASO;RUA SERRA DA BOCAINA, 126;QUARTA PARADA;3174000
SP00101;COLÉGIO SANTA CATARINA;RUA MARQUÊS DE VALENÇA, 641;MOOCA;3182040
SP00102;UNIVERSIDADE ANHEMBI MORUMBI;RUA DR. ALMEIDA LIMA, 1134;MOOCA;3164000
SP00103;EMEF DR. FÁBIO DA SILVA PRADO;RUA TAQUARÍ, 459;MOOCA;3166000
SP00104;FUNDAÇÃO CASA - CHIQUINHA GONZAGA;RUA JAPURUCHITÁ, 300;PARQUE DA MOOCA;3128070
SP00105;CLUBE ATLÉTICO PAULISTANO;RUA ESTADOS UNIDOS, 1339;JARDIM AMERICA;1427001
SP00106;COLÉGIO ASSUNÇÃO;RUA PAMPLONA, 1616;JARDIM PAULISTA;1405002
SP00107;ESCOLA PUERI DOMUS - UNIDADE II - ITAIM;RUA ITACEMA, 214;ITAIM BIBI;4530050
SP00108;ESCOLA CONCEPT;AV. NOVE DE JULHO, 5520;JARDIM PAULISTA;1406200
SP00109;EE. ARISTIDES DE CASTRO;RUA LEOPOLDO COUTO DE MAGALHÃES JR., 306;ITAIM BIBI;4542000
SP00110;EE. LUDOVINA CREDÍDIO PEIXOTO;RUA TABAPUÃ, 180;ITAIM BIBI;4533000
SP00111;EE. MARTIM FRANCISCO;RUA DOMINGOS FERNANDES, 583;VILA NOVA CONCEICAO;4509011
SP00112;EE. MINISTRO COSTA MANSO;RUA JOÃO CACHOEIRA, 960;VILA NOVA CONCEICAO;4535003
SP00113;ESCOLA NOSSA SENHORA DAS GRAÇAS;RUA TABAPUÃ, 303;ITAIM BIBI;4533010
SP00114;INSPER;R QUATÁ 300;VILA OLÍMPIA;4546042
SP00115;FACULDADES METROPOLITANAS UNIDAS (SANTO AMARO);AV. SANTO AMARO, 1239;VILA NOVA CONCEICAO;4505002
SP00116;COLÉGIO DANTE ALIGHIERI;ALAMEDA JAÚ, 1061;JARDIM PAULISTA;1420001
SP00117;UNIVERSIDADE ANHEMBI MORUMBI CAMPUS PAULISTA;AV. PAULISTA, 2000;BELA VISTA;1310200
